gene,avg_logFC,p_val_adj,gene_set,scores,p_val
ENTPD8,0.88894325,0.0003086156596797,Other,3.7896073,0.0001508856803877
MYC,-0.8873093,1.4553442556983926e-06,Other,-5.0155354,5.288598840454552e-07
ST6GAL1,-0.88418925,0.0002637779103098,Other,-3.8294458,0.0001284321881851
CNOT6,0.8820549,1.890964272114766e-06,Other,4.963608,6.919556761871573e-07
EIF4A3,0.8790187,2.1417145064020073e-08,Other,5.8131304,6.131521369134778e-09
FAM136A,0.8783455,1.4034818813788752e-09,Other,6.2719607,3.565296714793111e-10
IQCH,0.87453973,1.2211566685433483e-06,Other,5.0526266,4.357756659922836e-07
RHPN1,-0.8729128,4.776438269323182e-07,Other,-5.240829,1.5985660336847745e-07
PCMTD1,0.872254,1.405653004052779e-11,Other,6.987131,2.8056380524440548e-12
ICA1,0.8698518,5.72070136179516e-08,Other,5.6416874,1.6839161266574465e-08
PHLDA3,-0.8698232,0.0060783341153702,Other,-2.9051914,0.0036702844103899
A2M,0.8682571,0.0046107293788996,Other,2.9988809,0.0027097330926396
EDRF1,0.8665893,9.758932332079374e-07,Other,5.09796,3.4333340563464733e-07
C6orf132,0.86129296,1.1230690381655867e-06,Other,5.0702105,3.973762423347993e-07
CTXN1,0.8599495,9.532071832808923e-08,Other,5.5455256,2.930727730853549e-08
DROSHA,0.8592664,6.036825700088666e-07,Other,5.1946716,2.050816795292218e-07
ATP1A4,-0.8583651,0.0363609330962203,Other,-2.2534878,0.0242284040086709
GPAA1,0.85467696,3.369067431954381e-11,Other,6.856351,7.0641736476462825e-12
SUMF2,0.85365665,2.85949610551359e-09,Other,6.1576653,7.382519432907512e-10
PLCG2,0.85076666,4.387536323530858e-07,Other,5.257589,1.4595634947229669e-07
WEE1,0.84823674,8.762660585389812e-07,Other,5.11994,3.056331212242818e-07
PAFAH1B3,0.84095967,3.091909286551845e-06,Other,4.860852,1.1688165145735302e-06
MT3,-0.8405743,0.0039670520179311,Other,-3.0475113,0.0023074486031716
SATB1,-0.8390812,0.0460013567320625,Other,-2.1567764,0.031023092392893
TMED10,0.83829504,8.132988206964799e-13,Other,7.391561,1.4511480974120657e-13
KIF2A,-0.83809173,0.0018540148276603,Other,-3.283795,0.0010241936749575
ITGB6,-0.835327,1.0868216137891282e-09,Other,-6.315371,2.6951423083883616e-10
FST,0.8342523,0.0115523963673176,Other,2.6875906,0.0071969566078652
PRSS8,0.8295618,7.593460262648763e-07,EMT_pancancer,5.149063,2.6179066631309244e-07
LSM7,0.8278091,1.8948509556301608e-07,Other,5.418866,5.99781451681321e-08
FOXA2,0.8204076,0.001793269192312,Other,3.293686,0.0009888288792285
GPATCH4,0.816716,2.5431182716532807e-06,Other,4.900965,9.536693518699804e-07
UCHL5,0.8154309,2.2886357183735087e-06,Other,4.9232197,8.513171170159522e-07
SLC5A6,0.81334823,2.135077884607421e-05,Other,4.436915,9.12573611969301e-06
GATAD2B,0.8103004,3.7779214905818853e-07,Other,5.286712,1.2453430719962465e-07
