gene,scores,avg_logFC,p_val,p_val_adj
Evc2,-2.0440273,-0.73009795,0.04095084454532972,0.06140800149928569
Drd1,-2.047924,-0.16225053,0.040567454251915665,0.06088740231916985
Gadd45a,-2.0490372,-0.34798363,0.040458474672505684,0.06077810180918861
Unc13c,-2.0635102,-0.655886,0.03906418071849555,0.05878861932658103
Ankrd34c,-2.0679634,-0.9790292,0.03864346410038923,0.05820758347020994
Rgs12,-2.0779831,-0.25504407,0.03771091113149696,0.0568538489794138
Npas1,-2.0835497,-2.5870094,0.03720114886539058,0.056135665388439476
Foxp2,-2.0930128,-0.5058115,0.03634801525445574,0.05489758638161734
Elfn1,-2.0980227,-0.5570895,0.03590314600306239,0.05427445002801067
Htr2c,-2.127525,-0.5908972,0.0333764691645245,0.05050031023003212
Fstl5,-2.1336484,-0.5783642,0.03287157427584783,0.04978118590783802
Htr1b,-2.1381016,-0.9311827,0.03250849797633262,0.04927573047629859
Tmem215,-2.1525745,-1.4295789,0.03135212950380645,0.047565821025179277
Igfn1,-2.161481,-2.189687,0.030658203118604916,0.04655504918010376
Tpbg,-2.1637075,-0.5402345,0.030486796680286837,0.0463366231641611
Ulk4,-2.1664908,-0.39121574,0.030273696741030375,0.046054374861241684
Pcbd1,-2.1759539,-1.059596,0.0295587033320898,0.045007409693154844
Chrm2,-2.1843038,-1.8281,0.028939935763959083,0.04414521961816263
Bcr,-2.185417,-0.19048363,0.0288582818782974,0.044060646537164336
Cbln4,-2.188757,-1.8859918,0.02861450924737931,0.043728172768040564
Adcy5,-2.1915402,-0.33720496,0.02841272214056172,0.0434593138473924
Cbln1,-2.1971068,-1.9099591,0.028012823248277124,0.04288666291471206
Calb2,-2.2238262,-1.2124505,0.026160149301051965,0.04008679213771044
Opalin,-2.2327325,-0.14645842,0.025566590036485645,0.03924880169071449
Phlda1,-2.2371857,-0.17161822,0.025274204504161436,0.03883540929752776
Rfx3,-2.2382991,-0.60336256,0.025201561910227707,0.03875921827181407
Tshz3,-2.2472055,-0.39328405,0.02462689950473462,0.03791008980536529
Prag1,-2.2561119,-0.41962135,0.02406362432352185,0.03711096558517452
Aldh3a1,-2.2694716,-4.857711,0.023239665309472687,0.03597226278565707
Npnt,-2.2739248,-0.4892521,0.022970510093983584,0.0355884124128907
Plekha7,-2.2922943,-0.72465634,0.02188866668293228,0.033974929542021394
Gpr153,-2.3095505,-0.4824675,0.020913051695063738,0.03249060988854172
Samd14,-2.3140037,-0.36138782,0.020667517089958006,0.03213884942480981
Kit,-2.3162303,-0.7809201,0.020545695047549845,0.032008631487424735
Tmem158,-2.3195703,-0.32652846,0.020364136150781715,0.03175520674347315
Tox2,-2.3284767,-1.0961397,0.019886805131572673,0.031068512477856563
Tlnrd1,-2.3318167,-0.10522296,0.01971034070273705,0.030850170131565158
Neurod1,-2.380802,-1.7439325,0.017274993616498483,0.027063620008698927
